icao,iata,name,lat,lon,country,type
BKPR,PRN,Priština Adem Jashari International Airport,42.5728,21.035801,XK,large_airport
DAAB,,Blida Airport,36.503601,2.81417,DZ,medium_airport
DAAD,BUJ,Bou Saada Airport,35.3325,4.20639,DZ,medium_airport
DAAE,BJA,Soummam–Abane Ramdane Airport,36.712547,5.069909,DZ,large_airport
DAAG,ALG,Houari Boumediene Airport,36.693886,3.214531,DZ,large_airport
DAAK,,Boufarik Air Base,36.545799,2.87611,DZ,medium_airport
DAAS,QSF,Ain Arnat Airport,36.178488,5.329909,DZ,medium_airport
DAAV,GJL,Jijel Ferhat Abbas Airport,36.794125,5.873652,DZ,large_airport
DAAZ,,Relizane Airport,35.752955,0.625877,DZ,medium_airport
DABB,AAE,Annaba Rabah Bitat Airport,36.826781,7.81334,DZ,large_airport
DABC,CZL,Mohamed Boudiaf International Airport,36.276001,6.62039,DZ,large_airport
DABS,TEE,Cheikh Larbi Tébessi Airport,35.4315986633,8.12071990967,DZ,medium_airport
DABT,BLJ,Batna Mostefa Ben Boulaid Airport,35.752102,6.30859,DZ,large_airport
DAOB,TID,Abdelhafid Boussouf Bou Chekif Airport,35.341099,1.46315,DZ,medium_airport
DAOI,CFK,Chlef Aboubakr Belkaid International Airport,36.216614,1.341114,DZ,large_airport
DAOL,TAF,Oran Tafraoui Airport,35.5424,-0.532278,DZ,medium_airport
DAON,TLM,Zenata – Messali El Hadj Airport,35.012732,-1.457117,DZ,large_airport
DAOO,ORN,Oran Es-Sénia (Ahmed Ben Bella) International Airport,35.620648,-0.622486,DZ,large_airport
DAOV,MUW,Ghriss Airport,35.207699,0.147142,DZ,medium_airport
DAUB,BSK,Biskra - Mohamed Khider Airport,34.79318,5.738899,DZ,large_airport
DTKA,TBJ,Tabarka-Aïn Draham International Airport,36.98,8.87694,TN,medium_airport
DTMB,MIR,Monastir Habib Bourguiba International Airport,35.75809860229492,10.75469970703125,TN,medium_airport
DTNH,NBE,Enfidha - Hammamet International Airport,36.075833,10.438611,TN,medium_airport
DTTA,TUN,Tunis Carthage International Airport,36.851002,10.2272,TN,large_airport
DTTB,,Bizerte Sidi Ahmed Air Base,37.242356,9.787016,TN,medium_airport
DTTF,GAF,Gafsa Ksar International Airport,34.422000885009766,8.822500228881836,TN,medium_airport
DTTX,SFA,Sfax Thyna International Airport,34.717999,10.691,TN,medium_airport
EBAW,ANR,Antwerp International Airport (Deurne),51.190667,4.463153,BE,medium_airport
EBBE,,Beauvechain Air Base,50.758598,4.76833,BE,medium_airport
EBBL,,Kleine Brogel Air Base,51.168301,5.47,BE,medium_airport
EBBR,BRU,Brussels Airport,50.901402,4.48444,BE,large_airport
EBCI,CRL,Brussels South Charleroi Airport,50.461963,4.459562,BE,large_airport
EBCV,,Chièvres Air Base,50.575802,3.831,BE,medium_airport
EBFN,,Koksijde Air Base,51.090302,2.65278,BE,medium_airport
EBFS,,Florennes Air Base,50.2433013916,4.64583015442,BE,medium_airport
EBKT,KJK,Kortrijk-Wevelgem International Airport,50.818878,3.209551,BE,medium_airport
EBLG,LGG,Liège Airport,50.638574,5.443897,BE,medium_airport
EBOS,OST,Ostend-Bruges International Airport,51.1998,2.874673,BE,large_airport
EDAC,AOC,Leipzig–Altenburg Airport,50.981945,12.506389,DE,medium_airport
EDBR,,Rothenburg/Görlitz Airfield,51.363335,14.95,DE,medium_airport
EDDB,BER,Berlin Brandenburg Airport,52.361738,13.502341,DE,large_airport
EDDC,DRS,Dresden Airport,51.134123,13.767831,DE,large_airport
EDDE,ERF,Erfurt-Weimar Airport,50.978281,10.960713,DE,large_airport
EDDF,FRA,Frankfurt Main Airport,50.026706,8.55835,DE,large_airport
EDDG,FMO,Münster Osnabrück Airport,52.133816,7.688482,DE,large_airport
EDDK,CGN,Cologne Bonn Airport,50.865898,7.14274,DE,large_airport
EDDL,DUS,Düsseldorf Airport,51.289501,6.76678,DE,large_airport
EDDM,MUC,Munich Airport,48.353802,11.7861,DE,large_airport
EDDN,NUE,Nuremberg Airport,49.498699,11.078056,DE,large_airport
EDDP,LEJ,Leipzig/Halle Airport,51.420657,12.232705,DE,large_airport
EDDR,SCN,Saarbrücken Airport,49.214545,7.109735,DE,medium_airport
EDDS,STR,Stuttgart Airport,48.689899,9.22196,DE,large_airport
EDDV,HAJ,Hannover Airport,52.461102,9.68508,DE,large_airport
EDFE,,Frankfurt-Egelsbach Airport,49.96,8.643043,DE,medium_airport
EDFH,HHN,Frankfurt-Hahn Airport,49.946353,7.261734,DE,large_airport
EDFM,MHG,Mannheim-City Airport,49.473057,8.514167,DE,medium_airport
EDFZ,,Mainz-Finthen Airfield,49.967499,8.147222,DE,medium_airport
EDGE,EIB,Eisenach-Kindel Airport,50.991604,10.47973,DE,medium_airport
EDGS,SGE,Siegerland Airport,50.707699,8.08297,DE,medium_airport
EDJA,FMM,Memmingen Allgau Airport,47.988092,10.238248,DE,large_airport
EDLI,BFE,Bielefeld Airport,51.964722,8.544444,DE,medium_airport
EDLN,MGL,Mönchengladbach Airport,51.230278,6.504444,DE,medium_airport
EDLP,PAD,Paderborn Lippstadt Airport,51.612527,8.617459,DE,large_airport
EDLV,NRN,Weeze (Niederrhein) Airport,51.601362,6.141228,DE,large_airport
EDLW,DTM,Dortmund Airport,51.518299,7.61224,DE,large_airport
EDMA,AGB,Augsburg Airport,48.425278,10.931667,DE,medium_airport
EDML,,Landshut Airfield,48.512019,12.034865,DE,medium_airport
EDMO,OBF,Oberpfaffenhofen Airport,48.081402,11.2831,DE,medium_airport
EDNY,FDH,Bodensee Airport Friedrichshafen,47.671299,9.51149,DE,large_airport
EDQA,,Bamberg-Breitenau Airfield,49.920403,10.914233,DE,medium_airport
EDQD,BYU,Bayreuth Airport,49.985001,11.64,DE,medium_airport
EDQM,HOQ,Hof-Plauen Airport,50.288544,11.852876,DE,medium_airport
EDSB,FKB,Karlsruhe Baden-Baden Airport,48.7794,8.0805,DE,large_airport
EDTD,,Donaueschingen-Villingen Airfield,47.973331,8.522222,DE,medium_airport
EDTL,LHA,Lahr Airport,48.369301,7.82772,DE,medium_airport
EDTM,,Mengen-Hohentengen Airfield,48.05389,9.372778,DE,medium_airport
EDTY,,Adolf Würth Airport,49.118332,9.783889,DE,medium_airport
