icao,iata,name,lat,lon,country,type
BGCO,CNP,Neerlerit Inaat Airport,70.743103,-22.650499,GL,medium_airport
BIAR,AEY,Akureyri International Airport,65.656573,-18.072018,IS,large_airport
BIBD,BIU,Bildudalur Airport,65.641296,-23.5462,IS,medium_airport
BIEG,EGS,Egilsstaðir Airport,65.2833023071289,-14.401399612426758,IS,medium_airport
BIGR,GRY,Grímsey Airport,66.5458,-18.0173,IS,medium_airport
BIHN,HFN,Hornafjörður Airport,64.295601,-15.2272,IS,medium_airport
BIHU,HZK,Húsavík Airport,65.952301,-17.426001,IS,medium_airport
BIIS,IFJ,Ísafjörður Airport,66.058098,-23.1353,IS,medium_airport
BIKF,KEF,Keflavik International Airport,63.985001,-22.6056,IS,large_airport
BIRK,RKV,Reykjavík Domestic Airport,64.128732,-21.93759,IS,medium_airport
BIRL,MVA,Mývatn Airport,65.6558,-16.9181,IS,medium_airport
BISI,SIJ,Siglufjörður Airport,66.137847,-18.908157,IS,medium_airport
BIVM,VEY,Vestmannaeyjar Airport,63.42430114746094,-20.278900146484375,IS,medium_airport
BIVO,VPN,Vopnafjörður Airport,65.720596,-14.8506,IS,medium_airport
BKPR,PRN,Priština Adem Jashari International Airport,42.5728,21.035801,XK,large_airport
DAAB,,Blida Airport,36.503601,2.81417,DZ,medium_airport
DAAD,BUJ,Bou Saada Airport,35.3325,4.20639,DZ,medium_airport
DAAE,BJA,Soummam–Abane Ramdane Airport,36.712547,5.069909,DZ,large_airport
DAAG,ALG,Houari Boumediene Airport,36.693886,3.214531,DZ,large_airport
DAAK,,Boufarik Air Base,36.545799,2.87611,DZ,medium_airport
DAAP,VVZ,Illizi Takhamalt Airport,26.723499,8.62265,DZ,medium_airport
DAAS,QSF,Ain Arnat Airport,36.178488,5.329909,DZ,medium_airport
DAAV,GJL,Jijel Ferhat Abbas Airport,36.794125,5.873652,DZ,large_airport
DAAY,MZW,Mecheria Airport,33.535900116,-0.242353007197,DZ,medium_airport
